A2M,ENSG00000175899,AD
AAAS,ENSG00000094914,AR
AARS1,ENSG00000090861,AR|AD
AARS2,ENSG00000124608,AR
AASS,ENSG00000008311,AR
ABAT,ENSG00000183044,AR
ABCA12,ENSG00000144452,AR
ABCA4,ENSG00000198691,AR|AD
ABCB6,ENSG00000115657,AD
ABCB7,ENSG00000131269,XR
ABCC6,ENSG00000091262,AR|AD
ABCC8,ENSG00000006071,AR|AD
ABCC9,ENSG00000069431,AD
ABCD1,ENSG00000101986,XD|XR
ACAT1,ENSG00000075239,AR
ACBD6,ENSG00000135847,AR
ACOX1,ENSG00000161533,AR
ACP5,ENSG00000102575,AR
ACSL4,ENSG00000068366,XD|XR
ACTA1,ENSG00000143632,AR|AD
